price,area,rooms,price_per_sqm,area_per_room,lat_bin,lon_bin,distance_to_center_km,zip_prefix
685000.0,64.0,3.0,10703.125,21.333333333333332,52.36,4.91,1.2971789623206968,1091
475000.0,60.0,3.0,7916.666666666667,20.0,52.35,4.8500000000000005,4.221765272133486,1059
850000.0,109.0,4.0,7798.165137614679,27.25,52.34,4.94,3.8345622592025324,1097
580000.0,128.0,6.0,4531.25,21.333333333333332,52.34,4.79,8.2204332198856,1060
720000.0,138.0,5.0,5217.391304347826,27.6,52.410000000000004,4.9,4.779151409027082,1036
450000.0,53.0,2.0,8490.566037735849,26.5,52.38,4.88,2.563299392546339,1051
450000.0,87.0,3.0,5172.413793103448,29.0,52.410000000000004,4.9,4.810785710580983,1033
590000.0,80.0,2.0,7375.0,40.0,52.370000000000005,4.87,2.249511993842121,1053
399000.0,49.0,3.0,8142.857142857143,16.333333333333332,52.36,4.8500000000000005,3.3981698812059085,1058
300000.0,33.0,2.0,9090.90909090909,16.5,52.35,4.9,1.6804897987425549,1073
540000.0,69.0,3.0,7826.086956521739,23.0,52.35,4.8500000000000005,3.989721519336159,1058
539000.0,88.0,3.0,6125.0,29.333333333333332,52.38,4.94,2.8650121829437656,1019
390000.0,45.0,3.0,8666.666666666666,15.0,52.36,4.91,1.2717884692203005,1091
575000.0,70.0,2.0,8214.285714285714,35.0,52.370000000000005,4.9,0.4367960347613755,1017
650000.0,86.0,3.0,7558.139534883721,28.666666666666668,52.36,4.91,1.282669992375355,1091
475000.0,105.0,5.0,4523.809523809524,21.0,52.410000000000004,4.9,4.535255943999273,1036
700000.0,102.0,6.0,6862.745098039216,17.0,52.36,4.8500000000000005,3.4325071215172818,1058
325000.0,78.0,3.0,4166.666666666667,26.0,52.370000000000005,4.83,5.0955565298689445,1064
399000.0,100.0,3.0,3990.0,33.333333333333336,52.32,4.95,6.3983412309768575,1102
375000.0,52.0,3.0,7211.538461538462,17.333333333333332,52.39,4.87,3.499365767255282,1013
1625000.0,199.0,6.0,8165.829145728643,33.166666666666664,52.370000000000005,4.89,1.4764731990420927,1016
575000.0,71.0,3.0,8098.591549295775,23.666666666666668,52.35,4.89,2.0384726094930032,1072
600000.0,114.0,4.0,5263.1578947368425,28.5,52.36,4.84,4.567908451672732,1062
525000.0,75.0,3.0,7000.0,25.0,52.36,4.95,2.900374791004811,1095
350000.0,110.0,5.0,3181.818181818182,22.0,52.410000000000004,4.92,4.67919462748415,1034
350000.0,89.0,3.0,3932.5842696629215,29.666666666666668,52.42,4.89,6.357156806375368,1035
575000.0,134.0,5.0,4291.044776119403,26.8,52.33,4.89,4.102018127892833,1083
375000.0,51.0,3.0,7352.941176470588,17.0,52.370000000000005,4.86,2.88960514368698,1056
1650000.0,235.0,7.0,7021.276595744681,33.57142857142857,52.36,4.82,5.758351109765778,1065
325000.0,37.0,2.0,8783.783783783783,18.5,52.35,4.89,2.0252724869051812,1072
800000.0,98.0,3.0,8163.265306122449,32.666666666666664,52.35,4.9,2.376626303639746,1078
1950000.0,258.0,4.0,7558.139534883721,64.5,52.39,4.89,2.277266307279593,1013
735000.0,83.0,3.0,8855.421686746988,27.666666666666668,52.34,4.86,3.887478624420216,1076
475000.0,74.0,3.0,6418.918918918919,24.666666666666668,52.370000000000005,4.87,2.6211297915796448,1053
275000.0,31.0,2.0,8870.967741935483,15.5,52.33,4.88,4.310185510116987,1083
375000.0,47.0,2.0,7978.723404255319,23.5,52.35,4.9,1.6853687390500314,1073
570000.0,63.0,3.0,9047.619047619048,21.0,52.36,4.86,3.2174747290137855,1054
375000.0,43.0,2.0,8720.93023255814,21.5,52.370000000000005,4.92,1.218260996925099,1018
895000.0,163.0,6.0,5490.79754601227,27.166666666666668,52.370000000000005,4.94,2.3230737962324794,1019
365000.0,49.0,3.0,7448.9795918367345,16.333333333333332,52.370000000000005,4.8500000000000005,3.427032878841932,1056
550000.0,62.0,3.0,8870.967741935483,20.666666666666668,52.370000000000005,4.87,2.045156931887895,1053
325000.0,91.0,4.0,3571.4285714285716,22.75,52.300000000000004,4.99,9.362185517283605,1106
429000.0,50.0,3.0,8580.0,16.666666666666668,52.36,4.91,0.503561439391502,1018
650000.0,120.0,4.0,5416.666666666667,30.0,52.36,4.92,1.4521334461737847,1093
350000.0,55.0,3.0,6363.636363636364,18.333333333333332,52.370000000000005,4.8500000000000005,3.9124778432105036,1056
475000.0,79.0,3.0,6012.658227848101,26.333333333333332,52.36,4.94,2.6948492142362386,1095
325000.0,99.0,3.0,3282.8282828282827,33.0,52.31,4.98,7.946614450322809,1104
425000.0,82.0,3.0,5182.926829268293,27.333333333333332,52.36,4.83,4.933830715451007,1064
350000.0,77.0,4.0,4545.454545454545,19.25,52.39,4.95,4.1215575409453615,1024
350000.0,81.0,3.0,4320.9876543209875,27.0,52.36,4.84,4.537452608502403,1062
375000.0,93.0,4.0,4032.2580645161293,23.25,52.36,4.82,6.1783177721183264,1068
450000.0,73.0,3.0,6164.3835616438355,24.333333333333332,52.39,4.88,2.9367616909728596,1013
1185000.0,160.0,5.0,7406.25,32.0,52.36,4.89,0.9263804066451864,1017
385000.0,74.0,3.0,5202.7027027027025,24.666666666666668,52.410000000000004,4.92,4.492850888721586,1034
687500.0,86.0,4.0,7994.186046511628,21.5,52.35,4.86,3.69273456027914,1075
585000.0,52.0,4.0,11250.0,13.0,52.42,4.89,6.049820242306536,1035
1295000.0,145.0,5.0,8931.034482758621,29.0,52.370000000000005,4.9,0.3142359148350797,1011
